council,county
Bolton,Greater Manchester
Bury,Greater Manchester
Manchester,Greater Manchester
Oldham,Greater Manchester
Rochdale,Greater Manchester
Salford,Greater Manchester
Stockport,Greater Manchester
Tameside,Greater Manchester
Trafford,Greater Manchester
Wigan,Greater Manchester
Knowsley,Merseyside
Liverpool,Merseyside
Sefton,Merseyside
St Helens,Merseyside
Wirral,Merseyside
Barnsley,South Yorkshire
Doncaster,South Yorkshire
Rotherham,South Yorkshire
Sheffield,South Yorkshire
Bradford,West Yorkshire
Calderdale,West Yorkshire
Kirklees,West Yorkshire
Leeds,West Yorkshire
Wakefield,West Yorkshire
Gateshead,Tyne and Wear
Newcastle upon Tyne,Tyne and Wear
North Tyneside,Tyne and Wear
South Tyneside,Tyne and Wear
Sunderland,Tyne and Wear
Birmingham,West Midlands
Coventry,West Midlands
Dudley,West Midlands
Sandwell,West Midlands
Solihull,West Midlands
Walsall,West Midlands
Wolverhampton,West Midlands
