council,county
Bath and North East Somerset,Somerset
Bedford,Bedfordshire
Blackburn with Darwen,Lancashire
Blackpool,Lancashire
"Bournemouth, Christchurch and Poole",Dorset
Bracknell Forest,Berkshire
Brighton and Hove,East Sussex
Bristol,Bristol
Central Bedfordshire,Bedfordshire
Cheshire East,Cheshire
Cheshire West and Chester,Cheshire
Cornwall,Cornwall
Darlington,County Durham
Derby,Derbyshire
Dorset,Dorset
Durham,County Durham
East Riding of Yorkshire,East Riding of Yorkshire
Halton,Cheshire
Hartlepool,County Durham
Herefordshire,Herefordshire
Isle of Wight,Isle of Wight
Isles of Scilly,Cornwall
Kingston upon Hull,East Riding of Yorkshire
Leicester,Leicestershire
Luton,Bedfordshire
Medway,Kent
Middlesbrough,North Yorkshire
Milton Keynes,Buckinghamshire
North East Lincolnshire,Lincolnshire
North Lincolnshire,Lincolnshire
North Somerset,Somerset
Northumberland,Northumberland
Nottingham,Nottinghamshire
Peterborough,Cambridgeshire
Plymouth,Devon
Portsmouth,Hampshire
Reading,Berkshire
Redcar and Cleveland,North Yorkshire
Rutland,Rutland
Shropshire,Shropshire
Slough,Berkshire
South Gloucestershire,Gloucestershire
Southampton,Hampshire
Southend-on-Sea,Essex
Stockton-on-Tees,County Durham
Stoke-on-Trent,Staffordshire
Swindon,Wiltshire
Telford and Wrekin,Shropshire
Thurrock,Essex
Torbay,Devon
Warrington,Cheshire
West Berkshire,Berkshire
Wiltshire,Wiltshire
Windsor and Maidenhead,Berkshire
Wokingham,Berkshire
York,North Yorkshire
